hero,lane,role,damage_type,tags,alt_lanes
孙尚香,发育路,射手,物理,爆发;位移;后期;推塔;发育
孙权,发育路,射手,物理,持续输出;推塔;后期;团战;发育
孙策,对抗路,战士,物理,开团;支援;控制;突进;节奏
孙膑,游走,辅助,法术,拉扯;加速;回复;团战;转线
安琪拉,中路,法师,法术,爆发;控制;蹲草;清线;秒杀
宫本武藏,打野,战士,物理,锁定;切后排;限制回复;突进;节奏,对抗路
小乔,中路,法师,法术,爆发;控制;团战;清线;后期
少司缘,游走,辅助,法术,保护;回复;团队增益;拉扯;转线
干将莫邪,中路,法师,法术,爆发;远程;消耗;守塔;poke
庄周,游走,辅助,法术,解控;反打;坦度;保护;克制控制
廉颇,游走,坦克,物理,开团;坦度;控制;承伤;前排,对抗路
弈星,中路,法师,法术,控制;分割战场;清线;团战;反打
张良,中路,法师,法术,压制;控制;抓单;工具人;反突进
张飞,游走,辅助,物理,保护;开团;坦度;反打;护盾
影,打野,刺客,物理,突进;收割;切后排;操作;节奏
戈娅,发育路,射手,物理,机动;持续输出;拉扯;中期;推塔
扁鹊,中路,法师,法术,回复;持续输出;团战;消耗;阵地战
敖隐,发育路,射手,物理,爆发;后期;自保;推塔;发育
暃,打野,刺客,物理,突进;收割;地形;切后排;节奏
曜,打野,战士,物理,机动;拉扯;突进;持续输出;操作,对抗路
曹操,对抗路,战士,物理,续航;单带;持续输出;反打;中期,打野
朵莉亚,游走,辅助,法术,保护;刷新技能;团队增益;拉扯;体系
李元芳,发育路,射手,物理,前期;推塔;打龙;爆发;节奏,打野
李白,打野,刺客,物理,机动;消耗;收割;切后排;操作
杨戬,对抗路,战士,物理,续航;突进;收割;抗压;中期,打野
杨玉环,中路,法师,法术,回复;拉扯;团队增益;持续输出;团战
桑启,游走,辅助,法术,回复;保护;拉扯;草丛;团队增益
梦奇,对抗路,坦克,法术,坦度;持续输出;单带;反打;前排,打野
橘右京,打野,刺客,物理,爆发;控制;前中期;切后排;节奏,对抗路
武则天,中路,法师,法术,全图支援;控制;消耗;团战;清线
沈梦溪,中路,法师,法术,消耗;支援;清线;poke;压塔
海月,中路,法师,法术,单挑;压制;消耗;分割战场;反打
海诺,中路,法师,法术,消耗;回复;拉扯;持续输出;守塔
牛魔,游走,坦克,物理,开团;控制;坦度;保护;前排,对抗路
狂铁,对抗路,战士,物理,续航;爆发;抗压;团战;前中期
狄仁杰,发育路,射手,物理,持续输出;自保;推塔;净化;中期
猪八戒,对抗路,坦克,物理,坦度;回复;控制;前排;反打
王昭君,中路,法师,法术,控制;守塔;分割战场;清线;反打
甄姬,中路,法师,法术,控制;团战;清线;消耗;反打
白起,对抗路,坦克,物理,开团;嘲讽;回复;坦度;前排
百里守约,发育路,射手,物理,消耗;远程;视野;压塔;poke
盘古,打野,战士,物理,缴械;前期;控制;节奏;克制普攻,对抗路
盾山,游走,辅助,物理,开团;保护;挡技能;修塔;克制消耗
空空儿,打野,刺客,物理,突进;收割;切后排;节奏;操作
老夫子,对抗路,战士,物理,单带;控制;持续输出;带线;抓单,打野
艾琳,发育路,射手,法术,法术输出;持续输出;拉扯;后期;推塔
芈月,对抗路,法坦,法术,单带;续航;拉扯;法术输出;抗压,打野
苍,发育路,射手,物理,持续输出;推塔;后期;发育;团战
苏烈,游走,坦克,物理,开团;坦度;控制;复活;前排,对抗路
蒙恬,对抗路,战士,物理,前排;推塔;阵地战;团战;坦度
蔡文姬,游走,辅助,法术,回复;保护;续航;反打;团队增益
虞姬,发育路,射手,物理,自保;爆发;消耗;推塔;克制物理
蚩奼,对抗路,战士,物理,突进;持续输出;团战;切后排;中期
裴擒虎,打野,刺客,物理,前期;节奏;入侵;推塔;滚雪球,发育路
西施,中路,法师,法术,控制;开团;拉扯;工具人;抓单
诸葛亮,打野,法刺,法术,收割;爆发;突进;滚雪球;节奏,中路
貂蝉,中路,法师,法术,持续输出;回复;团战;真伤;操作
赵怀真,对抗路,战士,物理,反打;控制;坦度;保护;前排,打野
达摩,对抗路,战士,物理,开团;控制;爆发;绕后;切后排,打野
金蝉,中路,法师,法术,限制位移;控制;工具人;保护;克制突进
钟馗,游走,辅助,法术,钩子;开团;抓单;控制;视野
铠,打野,战士,物理,爆发;切后排;单挑;前排;中期,对抗路
镜,打野,刺客,物理,爆发;突进;收割;操作;节奏
阿古朵,打野,坦克,物理,运营;反野;推塔;团队增益;前排
露娜,打野,法刺,法术,持续输出;突进;收割;操作;节奏
韩信,打野,刺客,物理,机动;带线;偷塔;节奏;操作
项羽,对抗路,坦克,物理,坦度;控制;保护;前排;反打,游走
马可波罗,发育路,射手,真实伤害,真实伤害;位移;持续输出;打坦;后期
马超,对抗路,战士,物理,机动;收割;支援;切后排;单带
高渐离,中路,法师,法术,团战;爆发;进场;持续输出;AOE
鬼谷子,游走,辅助,法术,开团;隐身;加速;抓单;节奏
鲁班七号,发育路,射手,物理,后期;持续输出;推塔;高伤害;怕切
鲁班大师,游走,辅助,法术,开团;保护;位移;体系;控制
